# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
0,VSS,-,99,-,-,-,-,U18,D13
0,VSS,-,99,-,-,-,-,D17,K13
0,VSS,-,99,-,-,-,-,L17,N12
0,VSS,-,99,-,-,-,-,R17,D10
0,VSS,-,99,-,-,-,-,M16,N10
0,VSS,-,99,-,-,-,-,V15,H8
0,VSS,-,99,-,-,-,-,D14,J8
0,VSS,-,99,-,-,-,-,D12,D7
0,VSS,-,99,-,-,-,-,R12,J7
0,VSS,-,99,-,-,-,-,J10,P7
0,VSS,-,99,-,-,-,-,K10,N6
0,VSS,-,99,-,-,-,-,L10,D4
0,VSS,-,99,-,-,-,-,D9,G4
0,VSS,-,99,-,-,-,-,L9,K4
0,VSS,-,99,-,-,-,-,R9,N4
0,VSS,-,99,-,-,-,-,D7,F3
0,VSS,-,99,-,-,-,-,V7,A1
0,VSS,-,99,-,-,-,-,N5,T1
0,VSS,-,99,-,-,-,-,D4,-
0,VSS,-,99,-,-,-,-,M4,-
0,VSS,-,99,-,-,-,-,U4,-
0,VSS,-,99,-,-,-,-,F3,-
0,VSS,-,99,-,-,-,-,H3,-
0,VSS,-,99,-,-,-,-,W3,-
0,VSS,-,99,-,-,-,-,A1,-
